Data,Organisation unit,Period,Value,Numerator,Denominator,Factor,Multiplier,Divisor
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ab 14 Brigade Medical Centre Ohafia,Oct-23,107,107,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ab 14 Brigade Medical Centre Ohafia,Nov-23,68,68,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ab 14 Brigade Medical Centre Ohafia,Dec-23,179,179,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ab 14 Brigade Medical Centre Ohafia,Jan-24,134,134,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ab 14 Brigade Medical Centre Ohafia,Feb-24,1,1,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,Oct-23,54,54,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,Nov-23,53,53,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,Dec-23,43,43,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,Jan-24,36,36,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,Feb-24,44,44,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,Mar-24,41,41,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,Apr-24,31,31,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,May-24,33,33,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,Jun-24,48,48,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,Jul-24,41,41,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,Oct-23,55,55,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,Nov-23,112,112,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,Dec-23,88,88,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,Jan-24,71,71,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,Feb-24,49,49,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,Mar-24,70,70,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,Apr-24,82,82,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,May-24,53,53,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,Jun-24,82,82,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 23 Brigade Medical Centre Yola,Jul-24,102,102,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,Oct-23,126,126,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,Nov-23,83,83,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,Dec-23,99,99,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,Jan-24,112,112,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,Feb-24,109,109,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,Mar-24,86,86,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,Apr-24,120,120,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,May-24,133,133,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,Jun-24,86,86,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak 6 Battalion Medical Reception Station Abak,Jul-24,285,285,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Oct-23,73,73,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Nov-23,110,110,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Dec-23,86,86,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Jan-24,39,39,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Feb-24,37,37,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Mar-24,324,324,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Apr-24,57,57,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,May-24,92,92,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Jun-24,30,30,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Forward Operating Base Ibaka,Jul-24,72,72,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Oct-23,141,141,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Nov-23,150,150,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Dec-23,141,141,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Jan-24,179,179,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Feb-24,107,107,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Mar-24,84,84,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Apr-24,134,134,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,May-24,151,151,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Jun-24,104,104,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,Jul-24,155,155,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,Oct-23,113,113,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,Nov-23,125,125,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,Dec-23,99,99,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,Jan-24,111,111,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,Feb-24,117,117,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,Mar-24,132,132,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,Apr-24,353,353,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,May-24,252,252,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,Jun-24,200,200,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,an 302 Artillery Regiment Medical Reception Station Onitsha,Jul-24,168,168,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,Oct-23,36,36,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,Nov-23,33,33,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,Dec-23,36,36,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,Jan-24,32,32,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,Feb-24,33,33,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,Mar-24,27,27,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,Apr-24,30,30,1,1,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ba 261 Nigerian Airforce Reference Hospital Bauchi,May-24,40,40,1,1,1,1
