Data,Organisation unit,Period,Value,Numerator,Denominator,Factor,Multiplier,Divisor
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ab 14 Brigade Medical Centre Ohafia,October 2023,107.0,107.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ab 14 Brigade Medical Centre Ohafia,November 2023,68.0,68.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ab 14 Brigade Medical Centre Ohafia,December 2023,179.0,179.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ab 14 Brigade Medical Centre Ohafia,January 2024,134.0,134.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ab 14 Brigade Medical Centre Ohafia,February 2024,1.0,1.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,October 2023,54.0,54.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,November 2023,53.0,53.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,December 2023,43.0,43.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,January 2024,36.0,36.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,February 2024,44.0,44.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,March 2024,41.0,41.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,April 2024,31.0,31.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,May 2024,33.0,33.0,1.0,1.0,1,1
HTS_TST: Total Newly Tested for HIV (Including KP) FY23,ad 163 Nigerian Airforce Hospital Yola,June 2024,48.0,48.0,1.0,1.0,1,1
