org_unit,site,
ab 14 Brigade Medical Centre Ohafia,14BMC,
ab 14 Brigade Medical Centre Ohafia,14BMC,
ab 14 Brigade Medical Centre Ohafia,14BMC,
ab 14 Brigade Medical Centre Ohafia,14BMC,
ab 14 Brigade Medical Centre Ohafia,14BMC,
ab 14 Brigade Medical Centre Ohafia,14BMC,
ab 14 Brigade Medical Centre Ohafia,14BMC,
ab 14 Brigade Medical Centre Ohafia,14BMC,
ad 23 Brigade Medical Centre Yola,23BMC,
ad 23 Brigade Medical Centre Yola,23BMC,
ad 23 Brigade Medical Centre Yola,23BMC,
ad 23 Brigade Medical Centre Yola,23BMC,
ad 23 Brigade Medical Centre Yola,23BMC,
ad 23 Brigade Medical Centre Yola,23BMC,
ad 23 Brigade Medical Centre Yola,23BMC,
ad 23 Brigade Medical Centre Yola,23BMC,
ak 6 Battalion Medical Reception Station Abak,6BNMRS,
ak 6 Battalion Medical Reception Station Abak,6BNMRS,
ak 6 Battalion Medical Reception Station Abak,6BNMRS,
ak 6 Battalion Medical Reception Station Abak,6BNMRS,
ak 6 Battalion Medical Reception Station Abak,6BNMRS,
ak 6 Battalion Medical Reception Station Abak,6BNMRS,
ak 6 Battalion Medical Reception Station Abak,6BNMRS,
ak 6 Battalion Medical Reception Station Abak,6BNMRS,
ak Sickbay Nigerian Navy Forward Operating Base Ibaka,FOBI,
ak Sickbay Nigerian Navy Forward Operating Base Ibaka,FOBI,
ak Sickbay Nigerian Navy Forward Operating Base Ibaka,FOBI,
ak Sickbay Nigerian Navy Forward Operating Base Ibaka,FOBI,
ak Sickbay Nigerian Navy Forward Operating Base Ibaka,FOBI,
ak Sickbay Nigerian Navy Forward Operating Base Ibaka,FOBI,
ak Sickbay Nigerian Navy Forward Operating Base Ibaka,FOBI,
ak Sickbay Nigerian Navy Forward Operating Base Ibaka,FOBI,
ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,NNSJ,
ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,NNSJ,
ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,NNSJ,
ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,NNSJ,
ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,NNSJ,
ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,NNSJ,
ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,NNSJ,
ak Sickbay Nigerian Navy Ship JUBILEE Ikot Abasi,NNSJ,
an 302 Artillery Regiment Medical Reception Station Onitsha,302MRS,
