Data,Viral Load Result,Organisation unit,Period,Value,Numerator,Denominator,Factor,Multiplier,Divisor
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ab 14 Brigade Medical Centre Ohafia,Oct-23,61,61,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ab 14 Brigade Medical Centre Ohafia,Nov-23,61,61,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ab 14 Brigade Medical Centre Ohafia,Dec-23,61,61,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ab 14 Brigade Medical Centre Ohafia,Jan-24,67,67,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ab 14 Brigade Medical Centre Ohafia,Feb-24,67,67,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ab 14 Brigade Medical Centre Ohafia,Mar-24,35,35,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ad 23 Brigade Medical Centre Yola,Oct-23,39,39,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ad 23 Brigade Medical Centre Yola,Nov-23,38,38,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ad 23 Brigade Medical Centre Yola,Dec-23,41,41,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ad 23 Brigade Medical Centre Yola,Jan-24,38,38,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ad 23 Brigade Medical Centre Yola,Feb-24,39,39,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ad 23 Brigade Medical Centre Yola,Mar-24,39,39,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ad 23 Brigade Medical Centre Yola,Apr-24,46,46,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ad 23 Brigade Medical Centre Yola,May-24,45,45,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ad 23 Brigade Medical Centre Yola,Jun-24,49,49,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ad 23 Brigade Medical Centre Yola,Jul-24,52,52,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak 6 Battalion Medical Reception Station Abak,Oct-23,408,408,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak 6 Battalion Medical Reception Station Abak,Nov-23,418,418,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak 6 Battalion Medical Reception Station Abak,Dec-23,353,353,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak 6 Battalion Medical Reception Station Abak,Jan-24,430,430,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak 6 Battalion Medical Reception Station Abak,Feb-24,417,417,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak 6 Battalion Medical Reception Station Abak,Mar-24,323,323,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak 6 Battalion Medical Reception Station Abak,Apr-24,419,419,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak 6 Battalion Medical Reception Station Abak,May-24,417,417,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ak 6 Battalion Medical Reception Station Abak,Jun-24,406,406,1,1,1,1
