Data,Viral Load Result,Organisation unit,Period,Value,Numerator,Denominator,Factor,Multiplier,Divisor
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ab 14 Brigade Medical Centre Ohafia,October 2023,61,61,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ab 14 Brigade Medical Centre Ohafia,November 2023,61,61,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ab 14 Brigade Medical Centre Ohafia,December 2023,61,61,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ab 14 Brigade Medical Centre Ohafia,January 2024,67,67,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ab 14 Brigade Medical Centre Ohafia,February 2024,67,67,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ab 14 Brigade Medical Centre Ohafia,March 2024,35,35,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ad 23 Brigade Medical Centre Yola,October 2023,39,39,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ad 23 Brigade Medical Centre Yola,November 2023,38,38,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ad 23 Brigade Medical Centre Yola,December 2023,41,41,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ad 23 Brigade Medical Centre Yola,January 2024,38,38,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ad 23 Brigade Medical Centre Yola,February 2024,39,39,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ad 23 Brigade Medical Centre Yola,March 2024,39,39,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ad 23 Brigade Medical Centre Yola,April 2024,46,46,1,1,1,1
TX_PVLS_N: Viral Load Results (FY22),<50 c/ml,ad 23 Brigade Medical Centre Yola,May 2024,45,45,1,1,1,1
